#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:MSA_cytB" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:MSA_cytB" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:MSA_cytB" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.MSA_cytB" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:MSA_cytB" name="distribution" x="@birthRate.t:MSA_cytB">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="parameter.hyperGamma-beta-YuleBirthRatePrior.t:MSA_cytB" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:MSA_cytB" name="distribution">
#            <parameter id="gammaShape.s:MSA_cytB" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@MSA_cytB" id="treeLikelihood.MSA_cytB" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:MSA_cytB">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:MSA_cytB" shape="@gammaShape.s:MSA_cytB" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:MSA_cytB" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:MSA_cytB" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Standard_TIM2uf.s:MSA_cytB" spec="substmodels.nucleotide.TIM2uf">
#                    <parameter dimension="4" id="TIM2ufrates.s:MSA_cytB" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0 1.0 1.0</parameter>
#                    <frequencies id="TIM2ufFreqs.s:MSA_cytB" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="TIM2uffreqParameter.s:MSA_cytB" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:MSA_cytB" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:MSA_cytB" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape	TIM2uffreqParameter.1	TIM2uffreqParameter.2	TIM2uffreqParameter.3	TIM2uffreqParameter.4	RateAC-Standard_TIM2uf	RateAG-Standard_TIM2uf	RateAT-Standard_TIM2uf	RateCG-Standard_TIM2uf	RateCT-Standard_TIM2uf	RateGT-Standard_TIM2uf
0	-10400.058556047832	-10384.870435159528	-15.188120888303697	-10384.870435159528	2.1676571492763577	-7.2730342476408625	1.0	1.0	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	1.0
1000	-8934.565456551412	-8928.513717210188	-6.051739341225164	-8928.513717210188	0.3025559760872445	3.0721804476219523	4.765955972811464	0.6451305494835715	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	1.0
2000	-8865.165089662109	-8859.239270676087	-5.9258189860207535	-8859.239270676087	0.308573355997387	2.104030382781085	2.180216910712036	0.33493756342267866	0.25	0.25	0.25	0.25	1.0	1.0553823915736058	1.0	0.9211853843963564	1.1022468396336813	0.9211853843963564
3000	-8849.040041442215	-8843.96436529512	-5.07567614709516	-8843.96436529512	0.29728501473375624	3.309518086122262	3.1086717748070316	0.33493756342267866	0.25	0.254315933438241	0.24795788473405592	0.24772618182770312	1.0	1.0209096266943507	1.0	0.9211853843963564	1.1367196045129364	0.9211853843963564
4000	-8850.810522423531	-8845.827005291323	-4.9835171322087914	-8845.827005291323	0.30116254506663154	3.4145239179097953	3.148780015332133	0.33493756342267866	0.25	0.254315933438241	0.24795788473405592	0.24772618182770312	1.0	1.0209096266943507	1.0	0.9211853843963564	1.1367196045129364	0.9211853843963564
5000	-8847.656978480933	-8842.550721543008	-5.106256937925256	-8842.550721543008	0.29126360147697083	3.211697781776798	2.9069101013530374	0.33493756342267866	0.25	0.24457026895637418	0.24795788473405592	0.25747184630956993	1.0	1.0209096266943507	1.0	0.9211853843963564	1.1367196045129364	0.9211853843963564
6000	-8833.43046725911	-8827.561392444377	-5.869074814733629	-8827.561392444377	0.3149778828879366	2.4773718159619915	2.5929156468070866	0.4779368824530257	0.25	0.24457026895637418	0.2442519882156826	0.2611777428279432	1.0	1.0209096266943507	1.0	0.9211853843963564	1.1367196045129364	0.9211853843963564
7000	-8804.760897833165	-8798.453074244575	-6.307823588590242	-8798.453074244575	0.3158748206000529	2.6663054067796303	4.849303101230246	0.4779368824530257	0.25	0.24457026895637418	0.2442519882156826	0.2611777428279432	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
8000	-8801.717451829567	-8793.233547428332	-8.483904401234756	-8793.233547428332	0.3221135541513841	0.8393272607421354	6.863863979118638	0.4779368824530257	0.25272073025425745	0.24457026895637418	0.24153125796142513	0.2611777428279432	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
9000	-8800.485879780741	-8794.250529806512	-6.235349974229823	-8794.250529806512	0.3409076512136186	2.0728754640116636	2.4958284231266377	0.4779368824530257	0.25272073025425745	0.24457026895637418	0.24153125796142513	0.2611777428279432	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
10000	-8802.034686733488	-8796.199743010025	-5.834943723463127	-8796.199743010025	0.29854591810605907	3.2007608914312935	5.15602140021328	0.4779368824530257	0.25272073025425745	0.24457026895637418	0.24153125796142513	0.2611777428279432	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
11000	-8788.752146858345	-8782.607583987614	-6.144562870731369	-8782.607583987614	0.32695245833395464	2.617498680748148	3.9254463404661935	0.4779368824530257	0.25272073025425745	0.24457026895637418	0.237820038731279	0.26488896205808937	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
12000	-8777.808433964732	-8772.049901389319	-5.758532575413341	-8772.049901389319	0.3152449315560332	2.4250287215135513	2.491905280202508	0.35484820792123756	0.25272073025425745	0.24457026895637418	0.23354564855155813	0.26916335223781024	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
13000	-8773.855692739842	-8768.604453833821	-5.2512389060212294	-8768.604453833821	0.3067804290638066	3.419150822680882	3.9552087925373782	0.3786895207675934	0.24719745864239126	0.2500935405682404	0.23354564855155813	0.26916335223781024	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
14000	-8753.930194919361	-8747.638950346509	-6.29124457285318	-8747.638950346509	0.30030810898017074	2.64861918576001	5.173542270059698	0.3786895207675934	0.2463832058587894	0.2500935405682404	0.2252612728242833	0.2782619807486869	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
15000	-8749.759618334252	-8744.096071685075	-5.663546649176255	-8744.096071685075	0.31692784091894854	2.6517994080088387	2.775456545213284	0.3786895207675934	0.2463832058587894	0.2500935405682404	0.2252612728242833	0.2782619807486869	1.0	0.8939521314662541	1.0	0.9211853843963564	1.263677099741033	0.9211853843963564
16000	-8758.269640147275	-8751.419653385003	-6.849986762272269	-8751.419653385003	0.31567268090206835	2.104223908297999	5.247985914132441	0.3786895207675934	0.2463832058587894	0.2500935405682404	0.2252612728242833	0.2782619807486869	1.0291401861550293	0.8356717591561953	1.0291401861550293	0.9211853843963564	1.263677099741033	0.9211853843963564
17000	-8752.183068644397	-8746.923082989619	-5.259985654777715	-8746.923082989619	0.2866774879259866	3.6045781743137644	4.7997148472349584	0.3786895207675934	0.2463832058587894	0.2500935405682404	0.2252612728242833	0.2782619807486869	1.0291401861550293	0.8356717591561953	1.0291401861550293	0.9211853843963564	1.263677099741033	0.9211853843963564
18000	-8746.27634600144	-8741.357200401024	-4.919145600414638	-8741.357200401024	0.3113718924923893	3.810026471621359	4.193919034431378	0.3786895207675934	0.2463832058587894	0.25451638423498446	0.2223942118579686	0.2767061980482575	1.0252694015950843	0.8356717591561953	1.0252694015950843	0.9250561689563016	1.263677099741033	0.9250561689563016
19000	-8747.74730212787	-8743.087418216212	-4.6598839116569915	-8743.087418216212	0.2714220564276666	3.7482118496198957	3.0446572429499983	0.3786895207675934	0.2463832058587894	0.25451638423498446	0.2223942118579686	0.2767061980482575	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
20000	-8745.64930999589	-8740.70499719356	-4.944312802329979	-8740.70499719356	0.284181338188143	3.625246863513238	3.5768450485313914	0.3786895207675934	0.2463832058587894	0.25451638423498446	0.2223942118579686	0.2767061980482575	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
21000	-8744.328009258481	-8738.519696138095	-5.808313120385646	-8738.519696138095	0.3199971521691518	2.5985787384344645	2.9854788737322506	0.3971533387556835	0.2404158074227289	0.2574519972883541	0.2223942118579686	0.2797379834309484	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
